start,finish,total
22-07-2020 19:00:37,22-07-2020 19:07:24,0:06:46
22-07-2020 19:25:57,22-07-2020 20:05:13,0:39:15
22-07-2020 20:10:06,22-07-2020 21:01:10,0:51:03
22-07-2020 21:22:59,22-07-2020 22:23:43,1:00:43
23-07-2020 00:07:21,23-07-2020 00:16:48,0:09:27
23-07-2020 00:27:41,23-07-2020 00:40:57,0:13:15
23-07-2020 00:50:01,23-07-2020 01:13:39,0:23:38
23-07-2020 16:07:42,23-07-2020 17:33:43,1:26:00
23-07-2020 21:19:18,23-07-2020 21:57:00,0:37:42
23-07-2020 23:15:51,24-07-2020 00:10:42,0:54:50
25-07-2020 16:54:58,25-07-2020 17:50:22,0:55:23
25-07-2020 18:00:10,25-07-2020 18:56:34,0:56:24
25-07-2020 19:32:20,25-07-2020 20:14:55,0:42:35
25-07-2020 22:17:52,25-07-2020 22:41:29,0:23:36
25-07-2020 23:22:53,26-07-2020 00:03:27,0:40:34
26-07-2020 17:54:02,26-07-2020 18:24:05,0:30:03
26-07-2020 19:09:49,26-07-2020 19:42:27,0:32:37
27-07-2020 01:35:47,27-07-2020 01:44:18,0:08:30
27-07-2020 14:32:00,27-07-2020 16:00:12,1:28:12
27-07-2020 16:23:34,27-07-2020 17:09:07,0:45:33
27-07-2020 19:32:17,27-07-2020 20:36:08,1:03:51
27-07-2020 23:27:40,28-07-2020 00:24:19,0:56:38
28-07-2020 22:35:04,28-07-2020 23:52:32,1:17:28
29-07-2020 16:58:55,29-07-2020 17:38:44,0:39:48
29-07-2020 19:47:10,29-07-2020 21:07:05,1:19:55
29-07-2020 21:47:01,29-07-2020 21:59:38,0:12:37
29-07-2020 22:20:42,29-07-2020 23:29:42,1:08:59
30-07-2020 14:57:59,30-07-2020 16:04:04,1:06:05
30-07-2020 20:02:23,30-07-2020 20:49:10,0:46:46